temperature;soilMoisture;precipitation;ndvi;evatrasporation;Level
NULL;1.968;0;NULL;NULL;501.627
NULL;2.967;0;NULL;NULL;511.718
NULL;2.584;0.398;NULL;NULL;504.452
NULL;2.153;0;NULL;NULL;501.573
NULL;2.302;0;NULL;NULL;519.773
NULL;1.754;0;NULL;NULL;504.745
NULL;1.693;0;NULL;NULL;498.474
NULL;1.451;0;NULL;NULL;496.55
NULL;1.268;0;NULL;NULL;492.982
NULL;3.016;0;NULL;NULL;511.837
NULL;2.634;0;NULL;NULL;517.801
NULL;1.963;0.642;NULL;NULL;503.692
NULL;2.152;0;NULL;NULL;503.448
NULL;2.065;0;NULL;NULL;501.51
NULL;2.817;0;NULL;NULL;511.506
NULL;2.79;0;NULL;NULL;504.334
NULL;2.484;0;NULL;NULL;501.418
NULL;2.243;0;NULL;NULL;519.353
NULL;1.669;0;NULL;NULL;504.589
NULL;1.718;0;NULL;NULL;498.331
NULL;1.495;0;NULL;NULL;496.487
NULL;1.33;0;NULL;NULL;492.9
NULL;2.805;0;NULL;NULL;511.67
NULL;2.671;0;NULL;NULL;517.567
NULL;1.95;0;NULL;NULL;503.571
NULL;2.296;0;NULL;NULL;503.273
NULL;2.149;0;NULL;NULL;501.393
NULL;2.593;0;NULL;NULL;511.3
NULL;3.095;0;NULL;NULL;504.216
NULL;2.548;0;NULL;NULL;501.263
NULL;2.204;0;NULL;NULL;518.939
NULL;1.69;0;NULL;NULL;504.435
NULL;1.71;0;NULL;NULL;498.19
NULL;1.541;0;NULL;NULL;496.425
NULL;1.612;0;NULL;NULL;492.838
NULL;2.373;0;NULL;NULL;511.495
NULL;2.566;0;NULL;NULL;517.337
NULL;1.905;0;NULL;NULL;503.449
NULL;2.224;0;NULL;NULL;503.1
NULL;2.163;0;NULL;NULL;501.277
NULL;2.468;0;NULL;NULL;511.096
NULL;3.004;0;NULL;NULL;504.099
NULL;2.212;0;NULL;NULL;501.112
NULL;2.205;0;NULL;NULL;518.531
NULL;1.76;0;NULL;NULL;504.283
NULL;1.636;0;NULL;NULL;498.051
NULL;1.581;0;NULL;NULL;496.363
NULL;1.866;0;NULL;NULL;492.779
NULL;1.999;0;NULL;NULL;511.318
NULL;2.549;0;NULL;NULL;517.11
NULL;1.833;0;NULL;NULL;503.328
NULL;2.139;0;NULL;NULL;502.929
NULL;2.653;0;NULL;NULL;501.165
NULL;2.383;0;NULL;NULL;510.896
NULL;3.191;1.61;NULL;NULL;503.984
NULL;2.333;0;NULL;NULL;500.96
